Book Name,Author Name,Ratings,Votes,Book Type,Price,Book Link
Word Power Made Easy: The No 1 Vocabulary Builder in the English Language | Over a million copies sold Worldwide | With Self Assessment Activities | Ideal For IELTS & TOEFL Preparations,Norman Lewis,4.4 out of 5 stars,"19,625",Paperback,₹147.00,https://www.amazon.in//Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_g_books_d_sccl_26/258-5556159-0878167?psc=1
"QOKZEK Magic Practice Copybook, (4 BOOK + 1 PEN + 10 REFILL) Number Tracing Book for Pre-schoolers with Magic Pen, Magic calligraphy bookset for kids Reusable Writing Tool (SIZE- 19*13 cm)",QOKZEK,4.3 out of 5 stars,"4,256",Spiral-bound,₹267.00,https://www.amazon.in//Practice-Copybook-Preschoolers-calligraphy-Reusable/dp/B0743DXTVX/ref=zg_bs_g_books_d_sccl_27/258-5556159-0878167?psc=1
Human Edge in the AI Age: Eight Timeless Mantras for Success,Nitin Seth,4.9 out of 5 stars,325,Hardcover,₹548.00,https://www.amazon.in//Human-Edge-AI-Age-Timeless/dp/0143477587/ref=zg_bs_g_books_d_sccl_28/258-5556159-0878167?psc=1
"COVALENT – Organic Chemistry Book | JEE Main & Advanced | Clears Basics, Visual Shortcuts, Mechanisms, Name Reactions | For NEET UG, Boards & State Exams",Ransho Revision,4.5 out of 5 stars,Ransho Revision,Paperback,₹299.00,https://www.amazon.in//COVALENT-Chemistry-Shortcuts-Mechanisms-Reactions/dp/B0FF9VFPM6/ref=zg_bs_g_books_d_sccl_29/258-5556159-0878167?psc=1
Oswaal CBSE Question Bank Chapterwise and Topicwise SOLVED PAPERS Class 10 Mathematics (Standard) For Exam 2026,Oswaal Editorial Board,4.4 out of 5 stars,785,Paperback,₹604.00,https://www.amazon.in//Question-Chapterwise-Topicwise-Mathematics-Standard/dp/936239121X/ref=zg_bs_g_books_d_sccl_30/258-5556159-0878167?psc=1
"NCERT Class 5 Maths Mela, Textbook of Mathematics 533 2025-26 Edition",National council of educational research and training,4.2 out of 5 stars,80,Paperback,₹65.00,https://www.amazon.in//NCERT-Class-Textbook-Mathematics-2025-26/dp/9357298185/ref=zg_bs_g_books_d_sccl_1/259-7549272-5565421?psc=1
"My First Library: Boxset of 10 Board Books for Kids (Pack 1) | Includes ABC, Numbers, Shapes, Colors, Wild Animals, Farm Animals & Pets, Birds, Fruits, Vegetables & Transport | Early Learning Board Books for Babies, Toddlers & Preschoolers | Ages 0-3 Years",Wonder House Books,4.5 out of 5 stars,"84,729",Board book,₹369.00,https://www.amazon.in//My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_g_books_d_sccl_2/259-7549272-5565421?psc=1
"Class 8 NCERT Exploring Society – India and Beyond, Part I, Textbook of Social Science for Grade VIII",National council of educational research and training,3.9 out of 5 stars,70,Paperback,₹65.00,https://www.amazon.in//Class-NCERT-Exploring-Society-Textbook/dp/9357292934/ref=zg_bs_g_books_d_sccl_3/259-7549272-5565421?psc=1
Deewar Mein Ek Khidki Rahti Thi । दीवार में एक खिड़की रहती थी [ साहित्य अकादमी पुरस्कार से पुरस्कृत उपन्यास ],Vinod Kumar Shukla,4.4 out of 5 stars,831,Paperback,₹190.00,https://www.amazon.in//Deewar-%E0%A4%B8%E0%A4%BE%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%AF-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A4%BE%E0%A4%B0-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A5%83%E0%A4%A4-%E0%A4%89%E0%A4%AA%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B8/dp/939282078X/ref=zg_bs_g_books_d_sccl_4/259-7549272-5565421?psc=1
NCERT CLASS 8 Deepakm Sanskrit 872 2025-26 EDITION,National council of educational research and training,4.5 out of 5 stars,81,Paperback,₹65.00,https://www.amazon.in//NCERT-CLASS-Deepakm-Sanskrit-2025-26/dp/9357292942/ref=zg_bs_g_books_d_sccl_5/259-7549272-5565421?psc=1
PW SKC Physics Crush Class 11 Handwritten Format Notes By Saleem Sir For JEE and NEET Exams | A Beautiful Journey From Basic to JEE Advanced via JEE/ NEET [Paperback] Saleem Ahmed,Saleem Ahmed,4.6 out of 5 stars,237,Paperback,₹449.00,https://www.amazon.in//Physics-Handwritten-Beautiful-Advanced-Paperback/dp/936897408X/ref=zg_bs_g_books_d_sccl_6/259-7549272-5565421?psc=1
"NCERT Class 5 Our Wondrous World, Textbook of The World Around Us 535 2025-26 EDITION",National council of educational research and training,3.6 out of 5 stars,36,Paperback,₹122.00,https://www.amazon.in//NCERT-Wondrous-Textbook-Around-2025-26/dp/9357290303/ref=zg_bs_g_books_d_sccl_7/259-7549272-5565421?psc=1
NCERT CLASS 8 Ganita Prakash Textbook of Mathematics 874 2025-2026 EDITION,National council of educational research and training,4.2 out of 5 stars,54,Paperback,₹65.00,https://www.amazon.in//Ganita-Prakash-Textbook-Mathematics-2025-2026/dp/9357296425/ref=zg_bs_g_books_d_sccl_8/259-7549272-5565421?psc=1
"NCERT CLASS 8 Curiosity, Textbook of Science 877 2025-26 EDITION",National council of educational research and training,4.3 out of 5 stars,202,Paperback,₹65.00,https://www.amazon.in//NCERT-Curiosity-Textbook-Science-2025-26/dp/9357297723/ref=zg_bs_g_books_d_sccl_9/259-7549272-5565421?psc=1
"Indian Polity Courseware (English), 8th edition by M Laxmikanth for UPSC CSE 2025-26 | 40+ Conceptual Videos | 95 Well-structured Chapters | 18 Insightful Appendices | Full Colour eBook | Solved 13 Previous Years' Prelim Questions (2013–2025) | 12 Years' UPSC Main Exam Questions | Practice Questions",M Laxmikanth,4.1 out of 5 stars,30,Paperback,₹749.00,https://www.amazon.in//Courseware-Laxmikanth-Conceptual-Well-structured-Insightful/dp/9364447670/ref=zg_bs_g_books_d_sccl_10/259-7549272-5565421?psc=1
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"74,391",Paperback,₹290.00,https://www.amazon.in//Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_g_books_d_sccl_11/259-7549272-5565421?psc=1
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing) |Best Selling Tracing Book for Kids in India | Early Learning | Tracing Lines & Pattern Writing Activities | Premium Quality Return Gift | Ages 2 - 5 Years | 1.5 hours of fun time,Wonder House Books,4.4 out of 5 stars,"30,789",Paperback,₹125.00,https://www.amazon.in//First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_g_books_d_sccl_12/259-7549272-5565421?psc=1
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,Joseph Murphy,4.4 out of 5 stars,"78,113",Paperback,₹149.00,https://www.amazon.in//Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_g_books_d_sccl_13/259-7549272-5565421?psc=1
"PW Maths Made EJEE Class 11 Handwritten Notes By Sachin Jakhar For JEE Main & Advanced Exams | Complete Theory, Basic to Advanced Problems, Special Tricks, PYQ, Detailed Solutions [Paperback] Sachin Jakhar",Sachin Jakhar,4.6 out of 5 stars,80,Paperback,₹423.00,https://www.amazon.in//Handwritten-Advanced-Complete-Solutions-Paperback/dp/9368971013/ref=zg_bs_g_books_d_sccl_14/259-7549272-5565421?psc=1
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"78,314",Paperback,₹469.00,https://www.amazon.in//Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_g_books_d_sccl_15/259-7549272-5565421?psc=1
"Ikigai: The Japanese Secret to a Long and Happy Life | A Global Self-Help Phenomenon that Guides You Towards a Joyful, Balanced, and Meaningful Life",Héctor García,4.6 out of 5 stars,"59,323",Hardcover,₹374.00,https://www.amazon.in//Ikigai-Japanese-Self-Help-Phenomenon-Meaningful/dp/178633089X/ref=zg_bs_g_books_d_sccl_16/259-7549272-5565421?psc=1
"White Nights – Fyodor Dostoyevsky | A Million-Copy Bestseller | A Timeless Story of Love, Longing & Solitude – Penguin Classics",Fyodor Dostoyevsky,4.6 out of 5 stars,Fyodor Dostoyevsky,Mass Market Paperback,₹112.00,https://www.amazon.in//White-Nights-Penguin-Little-Classics/dp/0241252083/ref=zg_bs_g_books_d_sccl_17/259-7549272-5565421?psc=1
PW EaJEE Handwritten Notes For Inorganic Chemistry By Om Pandey | Chapterwise and Topicwise Questions | Complete JEE Main & Advanced Syllabus | Handpicked PYQs [Paperback] Om Pandey,Om Pandey,4.8 out of 5 stars,29,Paperback,₹449.00,https://www.amazon.in//Handwritten-Inorganic-Chemistry-Chapterwise-Handpicked/dp/9371535369/ref=zg_bs_g_books_d_sccl_18/259-7549272-5565421?psc=1
BlackBook of English Vocabulary May 2024,Nikhil Gupta,4.5 out of 5 stars,"1,862",Paperback,₹299.00,https://www.amazon.in//BlackBook-English-Vocabulary-Nikhil-Gupta/dp/819564578X/ref=zg_bs_g_books_d_sccl_19/259-7549272-5565421?psc=1
My First 365 Coloring Book: Jumbo Coloring Book For Kids (With Tear Out Sheets),Wonder House Books,4.5 out of 5 stars,"2,127",Paperback,₹199.00,https://www.amazon.in//My-First-365-Colouring-Book/dp/9390183006/ref=zg_bs_g_books_d_sccl_20/259-7549272-5565421?psc=1
NCERT CLASS 8 NCERT MALHAAR HINDI 871 2025-26 EDITION,National council of educational research and training,4.3 out of 5 stars,113,Paperback,₹65.00,https://www.amazon.in//NCERT-CLASS-MALHAAR-HINDI-2025-26/dp/9357293604/ref=zg_bs_g_books_d_sccl_21/259-7549272-5565421?psc=1
"Sank Magic Practice Copybook, (4 BOOK + 10 REFILL+ 1 Pen +1 Grip) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",Sank Magic,4.0 out of 5 stars,"3,911",Spiral-bound,₹120.00,https://www.amazon.in//Practice-Preschoolers-Calligraphy-Practical-Lettering/dp/9551753437/ref=zg_bs_g_books_d_sccl_22/259-7549272-5565421?psc=1
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.5 out of 5 stars,"6,703",Hardcover,₹199.00,https://www.amazon.in//Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118/ref=zg_bs_g_books_d_sccl_23/259-7549272-5565421?psc=1
Don't Believe Everything You Think (English),Joseph Nguyen,4.5 out of 5 stars,"12,570",Paperback,₹198.00,https://www.amazon.in//Dont-Believe-Everything-You-Think/dp/935543135X/ref=zg_bs_g_books_d_sccl_24/259-7549272-5565421?psc=1
Dopamine Detox: A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Thibaut Meurisse,4.4 out of 5 stars,"15,304",Paperback,₹192.00,https://www.amazon.in//Dopamine-Detox-Remove-Distractions-Things/dp/8183286011/ref=zg_bs_g_books_d_sccl_25/259-7549272-5565421?psc=1
1001 Ultimate Brain Booster Activity book for 3 to 6 Years Old Kids |Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,Team Pegasus,4.6 out of 5 stars,"2,083",Paperback,₹299.00,https://www.amazon.in//Ultimate-Brain-Booster-Activities-Years/dp/8131958248/ref=zg_bs_g_books_d_sccl_26/259-7549272-5565421?psc=1
"Arihant All in One Social Science Class 10 for CBSE Exams 2025-26 | Revised Edition as per latest syllabus I Mind Maps, CBQs, Focused Theory, Practice Exercises, Sample Papers",Kriti Arora,4.3 out of 5 stars,Kriti Arora,Paperback,₹406.00,https://www.amazon.in//Arihant-Science-syllabus-Practice-Exercises/dp/9368406030/ref=zg_bs_g_books_d_sccl_27/259-7549272-5565421?psc=1
PW CBSE Question & Concept Bank (QCB) Class 10 Science Chapter-wise and Topic-wise Solved Questions For 2026 Exams with 50% Competency Based Question [Paperback] Rakshak Dua; Samridhi Sharma and Sunil Vijay Hingorani,Rakshak Dua,4.5 out of 5 stars,272,Paperback,₹421.00,https://www.amazon.in//Chapter-wise-Topic-wise-Questions-Competency-Paperback/dp/9368976139/ref=zg_bs_g_books_d_sccl_28/259-7549272-5565421?psc=1
Oxford Student Atlas for India | 6th Edition | For UPSC and Competitive Exams | Latest Edition Paperback –January 2025,Oxford University Press,4.6 out of 5 stars,546,Paperback,₹259.00,https://www.amazon.in//Oxford-Student-Competitive-Paperback-January/dp/9367250509/ref=zg_bs_g_books_d_sccl_29/259-7549272-5565421?psc=1
"PW Kids First Library Box Set of 10 Board Books l Gift Set for Children Ages 1, 2, 3, 4, 5 Years",PW,4.6 out of 5 stars,330,Board book,₹369.00,https://www.amazon.in//First-Library-Board-Books-Children/dp/9360347981/ref=zg_bs_g_books_d_sccl_30/259-7549272-5565421?psc=1
"NCERT Class 5 Maths Mela, Textbook of Mathematics 533 2025-26 Edition",National council of educational research and training,4.2 out of 5 stars,80,Paperback,₹65.00,https://www.amazon.in//NCERT-Class-Textbook-Mathematics-2025-26/dp/9357298185/ref=zg_bs_g_books_d_sccl_1/259-7549272-5565421?psc=1
"My First Library: Boxset of 10 Board Books for Kids (Pack 1) | Includes ABC, Numbers, Shapes, Colors, Wild Animals, Farm Animals & Pets, Birds, Fruits, Vegetables & Transport | Early Learning Board Books for Babies, Toddlers & Preschoolers | Ages 0-3 Years",Wonder House Books,4.5 out of 5 stars,"84,729",Board book,₹369.00,https://www.amazon.in//My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_g_books_d_sccl_2/259-7549272-5565421?psc=1
"Class 8 NCERT Exploring Society – India and Beyond, Part I, Textbook of Social Science for Grade VIII",National council of educational research and training,3.9 out of 5 stars,70,Paperback,₹65.00,https://www.amazon.in//Class-NCERT-Exploring-Society-Textbook/dp/9357292934/ref=zg_bs_g_books_d_sccl_3/259-7549272-5565421?psc=1
Deewar Mein Ek Khidki Rahti Thi । दीवार में एक खिड़की रहती थी [ साहित्य अकादमी पुरस्कार से पुरस्कृत उपन्यास ],Vinod Kumar Shukla,4.4 out of 5 stars,831,Paperback,₹190.00,https://www.amazon.in//Deewar-%E0%A4%B8%E0%A4%BE%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%AF-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A4%BE%E0%A4%B0-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A5%83%E0%A4%A4-%E0%A4%89%E0%A4%AA%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B8/dp/939282078X/ref=zg_bs_g_books_d_sccl_4/259-7549272-5565421?psc=1
NCERT CLASS 8 Deepakm Sanskrit 872 2025-26 EDITION,National council of educational research and training,4.5 out of 5 stars,81,Paperback,₹65.00,https://www.amazon.in//NCERT-CLASS-Deepakm-Sanskrit-2025-26/dp/9357292942/ref=zg_bs_g_books_d_sccl_5/259-7549272-5565421?psc=1
PW SKC Physics Crush Class 11 Handwritten Format Notes By Saleem Sir For JEE and NEET Exams | A Beautiful Journey From Basic to JEE Advanced via JEE/ NEET [Paperback] Saleem Ahmed,Saleem Ahmed,4.6 out of 5 stars,237,Paperback,₹449.00,https://www.amazon.in//Physics-Handwritten-Beautiful-Advanced-Paperback/dp/936897408X/ref=zg_bs_g_books_d_sccl_6/259-7549272-5565421?psc=1
"NCERT Class 5 Our Wondrous World, Textbook of The World Around Us 535 2025-26 EDITION",National council of educational research and training,3.6 out of 5 stars,36,Paperback,₹122.00,https://www.amazon.in//NCERT-Wondrous-Textbook-Around-2025-26/dp/9357290303/ref=zg_bs_g_books_d_sccl_7/259-7549272-5565421?psc=1
NCERT CLASS 8 Ganita Prakash Textbook of Mathematics 874 2025-2026 EDITION,National council of educational research and training,4.2 out of 5 stars,54,Paperback,₹65.00,https://www.amazon.in//Ganita-Prakash-Textbook-Mathematics-2025-2026/dp/9357296425/ref=zg_bs_g_books_d_sccl_8/259-7549272-5565421?psc=1
